시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자
롯데월드 아쿠아리움,사립,서울특별시 송파구 올림픽로 300,,37.51070945,127.0999377,02-1661-2000,㈜호텔롯데 롯데월드,www.lotteworld.com/aquarium,,0:00,0:00,0:00,0:00,홈페이지참고,31000,31000,27000,,,,02-1661-2000,㈜호텔롯데 롯데월드,2017-12-31
롯데월드 민속박물관,사립,서울특별시 송파구 올림픽로 240,,37.58016368,126.985185,02-411-4760,㈜호텔롯데 롯데월드,www.lotteworld.com/museum/,,0:00,0:00,0:00,0:00,홈페이지참고,5000,3500,2000,,,,02-411-4760,㈜호텔롯데 롯데월드,2017-12-31
명인박물관,사립,서울특별시 종로구 북촌로6길 1,,37.57319771,126.9865478,02-766-0272,이무웅,,,0:00,0:00,0:00,0:00,홈페이지참고,3000,1000,1000,,,,02-766-0272,이무웅,2017-12-31
목인박물관,사립,서울특별시 종로구 인사동 11길 20(견지동),,37.57355543,126.984866,02-722-5066,목인문화재단,www.mokinmuseum.com,,0:00,0:00,0:00,0:00,홈페이지참고,"5,000","3,000","3,000",,,,02-722-5066,목인문화재단,2017-12-31
뮤지엄김치간,사립,"서울특별시 종로구 인사동길 35-4 인사동마루 본관 4,5,6층 ",,37.6538158,127.0084889,02-6002-6456,(주)풀무원,www.kimchikan.com,,0:00,0:00,0:00,0:00,홈페이지참고,5000,3000,3000,,,,02-6002-6456,(주)풀무원,2017-12-31
박을복자수박물관,사립,서울특별시 강북구 우이동 삼양로 149가길 53,,37.56401227,126.9725854,02-990-7000,오영호,www.embromuseum.com,,0:00,0:00,0:00,0:00,홈페이지참고,6000,4000,4000,,,,02-990-7000,오영호,2017-12-31
배재학당역사박물관,사립,서울특별시 중구 서소문로11길 19 배재정동빌딩 동관 배재학당역사박물관,,37.54427779,126.9592536,02-319-5578,학교법인 배재학당,https://appenzeller.pcu.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-319-5578,학교법인 배재학당,2017-12-31
백범김구기념관,사립,서울특별시 용산구 임정로 26,,37.57327196,126.9867814,02-799-3400,(사)백범김구선생기념사업협회,www.kimkoomuseum.org,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-799-3400,(사)백범김구선생기념사업협회,2017-12-31
보나장신구 박물관 ,사립,서울특별시 종로구 인사동 9길 9,,37.5838838,126.9835971,02-732-6621,김명희,www.bonamuseum.com,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-732-6621,김명희,2017-12-31
북촌동양문화박물관,사립,서울특별시 종로구 북촌로11길 76,,37.58043,126.9847656,02-723-0190,권영두,www.dymuseum.com,,0:00,0:00,0:00,0:00,홈페이지참고,5000,3000,3000,,,,02-723-0190,권영두,2017-12-31
북촌박물관,사립,서울특별시 종로구 북촌로 39,,37.584493,126.9829955,02-766-8402,박경숙,http://blog.naver.com/bukchon_art,,0:00,0:00,0:00,0:00,홈페이지참고,3000,2000,2000,,,,02-766-8402,박경숙,2017-12-31
북촌생활사박물관,사립,서울특별시 종로구 북촌로5나길90(삼청동),,37.57389389,126.9818818,02-736-3957,1종,http://cafe.daum.net/namu3579,,0:00,0:00,0:00,0:00,홈페이지참고,3000,3000,3000,,,,02-736-3957,1종,2017-12-31
불교중앙박물관,사립,서울특별시 종로구 우정국로 55,,37.56539367,127.1477157,02-2011-1960,대한불교조계종 ,www.museum.buddhism.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-2011-1960,대한불교조계종 ,2017-12-31
브이센터 더 라이브 뮤지엄,사립,서울특별시 강동구 아리수로61길 103,,37.6087015,126.9570781,070-4284-8470,"㈜브이센터 ""태권브이 더라이브 뮤지엄"" 고덕지점",http://www.tkvcenter.com/,,0:00,0:00,0:00,0:00,홈페이지참고,15000,15000,15000,,,,070-4284-8470,"㈜브이센터 ""태권브이 더라이브 뮤지엄"" 고덕지점",2017-12-31
삼성출판박물관,사립,서울특별시 종로구 비봉길2-2,,37.56222376,126.9878243,02-394-6544,김종규,ssmop.org,,0:00,0:00,0:00,0:00,홈페이지참고,3000,2000,2000,,,,02-394-6544,김종규,2017-12-31
샬트르성바오로수녀회 역사박물관,사립,서울특별시 명동길 74-2,,37.56627097,126.9803939,02-3706-3255,김영희,http://www.spcseoul.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-3706-3255,김영희,2017-12-31
서울그레뱅뮤지엄,사립,서울특별시 을지로 23,,37.57880969,126.9970208,02-777-4700,그레뱅코리아,www.grevin-seoul.com,,0:00,0:00,0:00,0:00,홈페이지참고,18000,15000,15000,,,,02-777-4700,그레뱅코리아,2017-12-31
서울대학교병원 의학박물관,사립,서울특별시 종로구 대학로 101,,37.51889593,127.115509,02-2072-2636,서울특별시대학교병원,www.medicalmuseum.org,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-2072-2636,서울특별시대학교병원,2017-12-31
서울올림픽기념관,사립,서울특별시 송파구 올림픽로 424,,37.5081228,127.0618874,02-410-1354,국민체육진흥공단,88olympic.kspo.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-410-1354,국민체육진흥공단,2017-12-31
세계골프역사박물관,사립,서울특별시 테헤란로 528(대치동 945-5),,37.58096684,126.9818002,02-2192-3005,㈜슈페리어,"www.superiori.com
http://blog.naver.com/golfhistory",,0:00,0:00,0:00,0:00,홈페이지참고,5000,5000,3000,,,,02-2192-3005,㈜슈페리어,2017-12-31
세계장신구박물관,사립,서울특별시 종로구 북촌로 5나길 2,,37.57981529,127.0046233,02-730-1610,설립자,www.wjmuseum.com,,0:00,0:00,0:00,0:00,홈페이지참고,7000,5000,5000,,,,02-730-1610,설립자,2017-12-31
쇳대박물관,사립,서울특별시 종로구 이화장길 100 ,,37.59950589,126.9556793,02-766-6494,최홍규,www.lockmuseum.co.kr,,0:00,0:00,0:00,0:00,홈페이지참고,4000,3000,3000,,,,02-766-6494,최홍규,2017-12-31
쉼박물관,사립,서울특별시 종로구 세검정로 209-17,,37.56986879,126.9776582,02-396-9277,남은정,http://shuim.org/,,0:00,0:00,0:00,0:00,홈페이지참고,10000,5000,5000,,,,02-396-9277,남은정,2017-12-31
신문박물관 PRESSEUM,사립,서울특별시 종로구 세종대로 152,,37.51966412,126.9399092,02-2020-1830,신문박물관 설립추진위원회?,www.presseum.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,3000,2000,2000,,,,02-2020-1830,신문박물관 설립추진위원회?,2017-12-31
아쿠아플라넷63,사립,서울특별시 영등포구 63로 50,,37.55346737,126.9804036,02-780-6382,한화호텔앤드리조트,http://www.aquaplanet.co.kr/63,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-780-6382,한화호텔앤드리조트,2017-12-31
안중근의사기념관,국립,서울특별시 중구 소월로 91,,37.61189018,126.9717567,02-3789-1026,국가보훈처,http://www.ahnjunggeun.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-3789-1026,국가보훈처,2017-12-31
영인문학관,사립,서울특별시 종로구 평창30길 81,,37.60089578,126.990133,02-379-3182,강인숙,young-in.kr,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-379-3182,강인숙,2017-12-31
우리옛돌박물관,사립,서울특별시 성북구 대사관로 13길 66,,126.9817505,37.55943913,02-986-1001,재단법인 우리옛돌문화재단,"www.koreanstonemuseum.com
www.우리옛돌박물관.com",,0:00,0:00,0:00,0:00,홈페이지참고,7000,5000,3000,,,,02-986-1001,재단법인 우리옛돌문화재단,2017-12-31
우리은행 은행사박물관,사립,서울특별시 중구 소공로 51 우리은행 본점 지하 1층,,37.55656511,126.9403287,02-2002-5090,우리은행,www.woorimuseum.com,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-2002-5090,우리은행,2017-12-31
우석뮤지엄,사립,서울특별시 서대문구 신촌로129 아트레온 5층,,37.59371971,126.9626575,02-364-8900,아트레온,www.artreon.co.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-364-8900,아트레온,2017-12-31
유금와당박물관,사립,서울특별시 종로구 창의문로 11가길 4,,37.55496014,126.9338173,02-394-3451,유창종.금기숙,www.yoogeum.org,,0:00,0:00,0:00,0:00,홈페이지참고,5000,3000,3000,,,,02-394-3451,유창종.금기숙,2017-12-31
이한열기념관,사립,서울특별시 마포구 신촌로 12나길 26,,37.56623131,126.970695,02-325-7216,문화체육관광부,www.leememorial.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-325-7216,문화체육관광부,2017-12-31
이화박물관,사립,서울특별시 중구 정동길 26,,,,02-2175-1964,이화여자고등학교,www.ewhamuseum.co.kr,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-2175-1964,이화여자고등학교,2017-12-31
인도박물관,사립,"서울특별시 서초구 서초중앙로2길 35, 2층",,,,02-585-2185,김양식,http://www.indo-museum.org,,0:00,0:00,0:00,0:00,홈페이지참고,3000,1000,1000,,,,02-585-2185,김양식,2017-12-31
전기박물관,사립,서울특별시 서초구 효령로 72길 60,,37.485889,127.028535,02-2105-8190,한국전력공사,www.kepco.co.kr/museum,,0:00,0:00,0:00,0:00,홈페이지참고,15971,15595,21232,,,,02-2105-8190,한국전력공사,2017-12-31
전쟁과여성인권박물관,사립,서울특별시 마포구 월드컵북로11길 20호,,37.560103,126.914879,02-392-5252,한국정신대문제대책협의회,http://www.womenandwarmuseum.net,,0:00,0:00,0:00,0:00,홈페이지참고,3000,2000,1000,,,,02-392-5252,한국정신대문제대책협의회,2017-12-31
전쟁기념관,사랍,서울특별시 용산구 이태원로 29번지(용산동 1가),,35.44802,128.386295,02-709-3139,전쟁기념사업회,www.warmemo.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-709-3139,전쟁기념사업회,2017-12-31
종이나라박물관,사립,서울특별시 중구 장충단로 166 종이나라빌딩 2층 ,,37.559634,127.00616,02-2279-7901,㈜종이나라,www.papermuseum.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,2000,1500,1500,,,,02-2279-7901,㈜종이나라,2017-12-31
짚풀생활사박물관,사립,서울특별시 종로구 성균관로 4길 45,,37.584851,126.999954,02-743-8787,짚풀문화재단,www.zipul.com,,0:00,0:00,0:00,0:00,홈페이지참고,5000,4000,4000,,,,02-743-8787,짚풀문화재단,2017-12-31
초전섬유퀼트박물관,사립,서울특별시 중구 퇴계로 18길 66,,37.558158,126.984233,02-753-4075~4,김순희,www.jculture.co.kr/museum http://blog.naver.com/chojunmuseum https://twitter.com/chojunmuseum,,0:00,0:00,0:00,0:00,홈페이지참고,5000,3000,2000,,,,02-753-4075~4,김순희,2017-12-31
춘원당한방박물관,사립,서울특별시 종로구 돈화문로 9길 27,,37.571517,126.990288,02-3672-2005,이윤선,www.cwdmuseum.com,,0:00,0:00,0:00,0:00,홈페이지참고,2000,1000,1000,,,,02-3672-2005,이윤선,2017-12-31
코리아나화장박물관,사립,서울특별시 언주로 827 코리아나아트센타,,37.524051,127.032784,02-547-9177,기업,,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-547-9177,기업,2017-12-31
탄허기념박물관,사립,서울특별시 밤고개로14길 13-51,,37.479002,127.102944,02-445-8486,종교법인,　http://www.tanheo.org/ https://blog.naver.com/thmuseum https://www.instagram.com/,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-445-8486,종교법인,2017-12-31
평강성서유물박물관,사립,서울특별시 구로구 오류로8리길 44,,37.491971,126.844051,02-2686-9496,재단법인,www.apm.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,2000,"2,000",1000,,,,02-2686-9496,재단법인,2017-12-31
피규어뮤지엄W,사립,서울특별시 청담동 84-9,,,,070-7404-2240 ,기업,http://www.figuremuseumw.co.kr,,0:00,0:00,0:00,0:00,홈페이지참고,15000,13500,12000,,,,070-7404-2240 ,기업,2017-12-31
한국가구박물관,사립,서울특별시 성북구 대사관로 121(성북동),,37.600014,126.99312,02.745.0181,정미숙,www.kofum.com,,0:00,0:00,0:00,0:00,홈페이지참고,20000,10000,10000,,,,02.745.0181,정미숙,2017-12-31
한국광고박물관,사립,서울특별시 송파구 올림픽로35길 137,,37.51583,127.099222,"02-2144-0116,0136",한국방송광고진흥공사,http://admuseum.kobaco.co.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,"02-2144-0116,0136",한국방송광고진흥공사,2017-12-31
한국금융사박물관,사립,서울특별시 중구 세종대로 135-5,,37.56846,126.976273,02-738-6806,신한은행,www.shinhanmuseum.co.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-738-6806,신한은행,2017-12-31
한국색동박물관,사립 ,"서울특별시 종로구 율곡로10길, 85-7",,,,02-765-9286,김옥현,http://www.saekdongmuseum.com/,,0:00,0:00,0:00,0:00,홈페이지참고,400,500,120,,,,02-765-9286,김옥현,2017-12-31
한국은행 화폐박물관,사립,서울특별시 중구 남대문로 39,,37.562075,126.980538,02-759-4881,한국은행,museum.bok.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-759-4881,한국은행,2017-12-31
한국잡지박물관,사립,"서울특별시 영등포구 여의대방로 67길 11, 잡지화관 B1층",,37.519773,126.930237,02-360-0041,한국잡지협회,http://museum.magazine.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,6000,900,700,,,,02-360-0041,한국잡지협회,2017-12-31
한국천주교순교자박물관,사립,서울특별시 마포구 토정로 6 (합정동),,,,02-3142-4504~5,"천주교서울특별시대교구
유지재단",www.jeoldusan.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-3142-4504~5,"천주교서울특별시대교구
유지재단",2017-12-31
한국현대문학관,사립,서울특별시 중구 동호로 268,,,,02-2277-4857,전숙희,www.kmlm.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,3000,2000,0,,,,02-2277-4857,전숙희,2017-12-31
한국현대의상박물관,사립,"서울특별시 종로구 율곡로 241-2 수진빌딩 9,10층",,37.575461,127.005507,02-734-7340,신혜순,www.kmmc.or.kr,,0:00,0:00,0:00,0:00,홈페이지참고,5000,4000,4000,,,,02-734-7340,신혜순,2017-12-31
한무숙 문학관,사립,서울특별시 종로구 혜화로 9길 20,,37.587793,126.998591,02-762-3093,김진흥,www.hahnmoosook.com,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-762-3093,김진흥,2017-12-31
한익환서울특별시아트박물관,사립,서울특별시 용산구 한남대로 108,,,,02-796-0100,김인순,"blog.daum.net/hansam2012
blog.naver.com/hansam2006",,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-796-0100,김인순,2017-12-31
혜곡최순우기념관,사립,서울특별시 성북구 성북로 15길 9,,37.592904,127.000314,02-3675-3401,윤상구(재단법인 내셔널트러스트 문화유산기금),http://choisunu.com,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-3675-3401,윤상구(재단법인 내셔널트러스트 문화유산기금),2017-12-31
호림박물관(신림본관),사립,서울특별시 남부순환로 152길 53,,,,02-858-3874,성보문화재단,www.horimmuseum.org,,0:00,0:00,0:00,0:00,홈페이지참고,4000,2000,20000,,,,02-858-3874,성보문화재단,2017-12-31
호림박물관(신사분관),사립,서울특별시 도산대로317,,,,02-541-3523,성보문화재단,,,0:00,0:00,0:00,0:00,홈페이지참고,,,,,,,02-541-3523,성보문화재단,2017-12-31
화정박물관,사립,서울특별시 종로구 평창8길 3,,37.604654,126.965901,02-2075-0114,한빛문화재단,www.hjmuseum.org,,0:00,0:00,0:00,0:00,홈페이지참고,6000,3000,3000,,,,02-2075-0114,한빛문화재단,2017-12-31
건국대학교박물관,대학,서울특별시 광진구 능동로 120,,37.542383,127.075614,02-450-3881,건국대학교,http://museum.konkuk.ac.kr/,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-450-3881,건국대학교,2017-12-31
경희대학교 자연사박물관,대학,서울특별시 동대문구 경희대로26,,37.59771,127.055198,02-961-0142,경희대학교,http://nhm.khu.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-961-0142,경희대학교,2017-12-31
경희대학교 중앙박물관,대학,서울특별시 동대문구 경희대로 26,,37.597043,127.053142,02-961-0141,경희대학교,http://museum.khu.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-961-0141,경희대학교,2017-12-31
경희대학교 한의학역사박물관,대학,서울특별시 동대문구 경희대로 26 경희대학교 한의과대학 403호,,,,02-961-2274,경희대학교,없음,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-961-2274,경희대학교,2017-12-31
고려대학교박물관,대학,서울특별시 성북구 안암로 145,,37.589433,127.034532,02-3290-1514,고려대학교,museum.korea.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-3290-1514,고려대학교,2017-12-31
국민대학교박물관,대학,서울특별시 정릉로 77,,37.612707,126.993619,02-910-4212,국민대학교,https://museum.kookmin.ac.kr/,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-910-4212,국민대학교,2017-12-31
덕성여자대학교박물관,사립,서울특별시 도봉구 삼양로 144길 33,,37.652736,127.016541,02-901-8132,덕성여자대학교,www.museum.duksung.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-901-8132,덕성여자대학교,2017-12-31
동국대학교 박물관,대학,서울특별시 중구 필동로1길 30,,,,02-2260-3722,동국대학교, dgumuseum.dongguk.edu,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-2260-3722,동국대학교,2017-12-31
삼육대학교박물관,대학,서울특별시 노원구 화랑로 815,,37.642261,127.107832,02-3399-3065,삼육대학교,https://www.facebook.com/museum.syu.ac.kr/,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-3399-3065,삼육대학교,2017-12-31
상명대학교 박물관,대학,서울특별시 종로구 평창문화로 151,,37.610541,126.975955,02-791-7920,상명대학교,museum.smu.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-791-7920,상명대학교,2017-12-31
서울대학교치의학대학원치의학박물관,대학,서울특별시 종로구 대학로 103 서울특별시대학교 치의학대학원,,,,02-740-8799,서울특별시대학교,,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-740-8799,서울특별시대학교,2017-12-31
서울대학교박물관,국립,서울특별시 관악구 관악로 1,,37.46453,126.952209,02-880-5333,서울특별시대학교,http://museum.snu.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-880-5333,서울특별시대학교,2017-12-31
서울시립대학교 박물관,대학,서울특별시 동대문구 서울특별시립대로 163,,37.583155,127.056948,02-6490-6586~7,서울특별시특별시립대학교,museum.uos.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-6490-6586~7,서울특별시특별시립대학교,2017-12-31
서울여자대학교박물관,대학,서울특별시 노원구 화랑로 621,,,,02-970-5311,서울특별시여자대학교,museum.swu.ac.kr,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-970-5311,서울특별시여자대학교,2017-12-31
성균관대학교 박물관,대학,서울특별시 종로구 성균관로 25-2,,37.587447,126.994751,02-760-1216,성균관대학교,shb.skku.edu/museum,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-760-1216,성균관대학교,2017-12-31
성신여자대학교 박물관,대학,서울특별시 성북구 보문로 34다길 2,,37.591711,127.021257,02-920-7325,성신여자대학교,www.sungshin.ac.kr/museum,,0:00,0:00,0:00,0:00,홈페이지참고,0,0,0,,,,02-920-7325,성신여자대학교,2017-12-31
