시설id,등록일시,수정일시,시설명,서비스분류코드,서비스분류명,자치구코드,자치구명,행정동 코드,행정동명,x좌표값,y좌표값,우편번호,기본주소,상세주소,운영시작일,연락처,사용료무료여부,운영일,휴관일,이용정원(기관),이용정원(개인),신청가능연령,자치구코드배열
DB231001,25:07.0,03:25.0,서울형 키즈카페 도봉구 도봉2동점(봉봉트레킹),1011,서울형키즈카페,11320,도봉구,3090046,도봉2동,127.04653,37.66967,1330,서울특별시 도봉구 마들로 668, (도봉동),2023-12-19,02-3492-7773,N,월~토 ,"일요일, 공휴일, 근로자의날 (어린이날 제외)",24명,16명,0세 ~ 6세,
SC231001,09:56.0,38:57.0,서울형 키즈카페 서초구 문화예술공원점(서리풀노리학교 문화예술공원점),1011,서울형키즈카페,11650,서초구,3210055,양재1동,127.03203,37.46991,6769,서울특별시 서초구 바우뫼로12길 40, (양재동),2023-12-19,02-577-9340,N,월~토,"일요일, 근로자의날, 법정공휴일",18명(유아기준),10명(유아기준),4세 ~ 6세,
YS231001,14:09.0,21:57.0,서울형 키즈카페 용산구 한강로동점(용산 도담도담 실내놀이터),1011,서울형키즈카페,11170,용산구,3020107,한강로동,126.96661,37.52682,4387,서울특별시 용산구 서빙고로 17,"센트럴파크타워, 2층 (한강로3가)",2023-12-01,02-6367-3121,N,화요일~일요일,"월, 공휴일(어린이날 제외) 및 근로자의 날",25명,18명,5세 ~ 9세,
YF231001,45:08.0,28:38.0,서울형 키즈카페 영등포구 대림2동점,1011,서울형키즈카페,11560,영등포구,3180062,대림2동,126.9053798,37.48820385,7444,서울특별시 영등포구 시흥대로 625,"상가 2층 (대림동, 영등포자이르네)",2023-11-16,070-7777-8982,N,월 ~ 토,"일요일, 근로자의 날, 법정공휴일",35명,25명,2세 ~ 6세,
DJ230901,34:09.0,52:48.0,서울특별시 제1호 시립 서울형 키즈카페,1011,서울형키즈카페,11590,동작구,3190056,대방동,126.92731,37.51245,6938,서울특별시 동작구 노량진로 10,서울가족플라자 지하2층 (대방동),2023-10-28,02-824-0614,N,화~일,"월, 명절 및 공휴일, 근로자의 날",30명,28명,4세 ~ 10세,
GS230801,24:47.0,46:33.0,서울형 키즈카페 강서구 발산1동점,1011,서울형키즈카페,11500,강서구,3150059,발산1동,126.8262373,37.54950073,7641,서울특별시 강서구 수명로2길 50, (내발산동) 2층 서울형 키즈카페,2023-10-17,02-2064-2732,N,화~토,"일요일, 월요일,명절, 공휴일, 근로자의 날, 정부에서 지정한 휴일",20명(유아 기준),12명(유아 기준),2세 ~ 6세,
MP230802,48:27.0,51:35.0,서울형 키즈카페 마포구 상암동점,1011,서울형키즈카페,11440,마포구,3130062,상암동,126.88362,37.58052,3905,서울특별시 마포구 상암산로1길 71,마포구육아종합지원센터 2~3층 서울형 키즈카페 마포구 상암점 (상암동),2023-09-01,070-4948-1276,N,화~토,"일, 월, 공휴일, 대체공휴일, 월요일이 공휴일인 경우 그 다음날을 휴관일로 지정",40명(교사인원 미포함),25명(영유아기준),1세 ~ 6세,
DJ230701,05:37.0,02:04.0,서울형 키즈카페 동작구 대방동점(동작키즈카페),1011,서울형키즈카페,11590,동작구,3190056,대방동,126.92299,37.50462,6945,서울특별시 동작구 여의대방로36길 11,4층 (대방동),2023-08-05,02-823-4587,N,화~일,"월요일, 명절 및 공휴일",30명(영유아 기준),15명(영유아 기준),0세 ~ 6세,
GB230601,59:54.0,20:24.0,서울형 키즈카페 강북구 번3동점(강북구 'PLAY ON'),1011,서울형키즈카페,11305,강북구,3080051,번3동,127.0427606,37.62928861,1224,서울특별시 강북구 오현로 208,"번동주공아파트 309동, 1층 (주민복지관 1, 어린이실내놀이터)",2023-08-01,02-988-0271,N,월요일 ~ 토요일,"일요일, 명절 및 법정공휴일, 근로자의 날",16명,16명,4세 ~ 8세,
GJ230202,18:05.0,49:39.0,서울형 키즈카페 광진구 중곡3동점(꾸미팡팡 놀이터),1011,서울형키즈카페,11215,광진구,3040044,중곡3동,127.0845734,37.56542921,4933,서울특별시 광진구 능동로 400,보건복지행정타운 별관 3층(중곡동),2023-04-01,02-467-1827,N,월요일~토요일 09:30~17:30 ,"일요일, 법정공휴일, 대체휴무일, 근로자의 날",영유아 기준 45명,영유아 기준 42명,1세 ~ 6세,
GD230202,00:08.0,16:19.0,서울형 키즈카페 강동구 암사1동점(아이?맘 강동),1011,서울형키즈카페,11740,강동구,3240045,암사1동,127.12903,37.55141,5263,서울특별시 강동구 올림픽로98길 15,",3층 (암사동)",2023-03-28,02-3425-9489,N,월~토,"일요일, 명절 및 공휴일", 최대 19명,총 정원: 19명,0세 ~ 6세,
GD230201,11:46.0,41:34.0,서울형 키즈카페 강동구 고덕2동점(아이?맘 강동),1011,서울형키즈카페,11740,강동구,3240044,고덕2동,127.16454,37.55712,5224,서울특별시 강동구 고덕로 353,일반상가 2층 (고덕동),2023-03-28,02-3425-9435,N,화~일,"월요일, 명절 및 공휴일", 최대 12명,12명(영유아 기준),0세 ~ 6세,
SD221201,43:08.0,59:55.0,서울형 키즈카페 성동구 금호2?3가동점(금호 키즈카페),1011,서울형키즈카페,11200,성동구,3030120,금호2-3가동,127.02098,37.55322,4728,서울특별시 성동구 무수막18길 1,"금호2,3가동주민센터 4층 (금호동2가)",2023-01-18,02-6952-6799,N,월요일 ~ 토요일,"일요일, 법정공휴일, 근로자의 날",28명(영유아기준),14명(영유아기준),0세 ~ 6세,
DJ221102,34:53.0,07:39.0,서울형 키즈카페 동작구 상도3동점(동작키즈카페),1011,서울형키즈카페,11590,동작구,3190043,상도3동,126.93237,37.50199,6951,서울특별시 동작구 상도로15가길 16,가온어린이집 3층 서울형키즈카페 (상도동),2023-01-31,070-7163-1474,Y,화~일,"월요일, 근로자의날, 명절 및 공휴일",20명(영유아 기준),10명(영유아 기준),0세 ~ 6세,
YC221101,50:18.0,17:54.0,서울형 키즈카페 양천구 신정7동점(5색깔깔KIDS),1011,서울형키즈카페,11470,양천구,3140058,신정7동,126.87003,37.50942,8102,서울특별시 양천구 목동남로 106-23, (신정동),2023-04-01,02-2135-5946,N,월~토,"일, 공휴일(어린이날 제외), 근로자의 날",20명(유아 기준) ,20명(유아 기준),0세 ~ 6세,
JR220801,56:36.0,23:59.0,서울형 키즈카페 중랑구 면목4동점(중랑 실내놀이터),1011,서울형키즈카페,11260,중랑구,3060042,면목4동,127.0846457,37.57252293,2255,서울특별시 중랑구 용마산로 209,"공공기여시설1층 (면목동, 쌍용 더 플래티넘 용마산)",2023-02-15,02-2207-1123,N,화요일 ~ 일요일 10:00~17:30,"월요일, 법정공휴일(어린이날 제외), 근로자의 날, 그 밖에 센터장이 지정한 날, 월요일이 공휴일인 경우 그 다음날을 휴관일로 지정",회차별 영유아50명,회차별 영유아25명,2세 ~ 6세,
JN220501,46:37.0,46:06.0,서울형 키즈카페 종로구 혜화동점(종로 혜명 아이들 상상놀이터),1011,서울형키즈카페,11110,종로구,3000054,혜화동,126.99881,37.59048,3066,서울특별시 종로구 성균관로 91,올림픽기념국민생활관 2층 (혜화동),2023-05-01,02-742-3320,N,화요일 ~ 일요일 (공휴일 제외),"월요일, 국가공휴일, 근로자의 날",30명,20명,4세 ~ 8세,
