도서관 일련번호,도서관명,구 코드,구명,주소,전화번호,홈페이지 URL,운영시간,정기 휴관일,도서관 구분,도서관 구분명,위도,경도
149,반딧불 북카페작은도서관,10,강동구,"서울특별시 강동구 천호대로 1183 2층(길동, 길동복합청사)",02-474-5157,,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",2,작은도서관,37.53465461,127.1426205
130,반석도서관,10,강동구,서울특별시 강동구 천중로49길 32-10 1층,,,"평일 : 11:00~17:00, 주말 : 휴관일","토요일,일요일",2,작은도서관,37.54225826,127.143603
143,부엉이작은도서관,10,강동구,"서울특별시 강동구 진황도로23길 7, 2층(천호동) 천호3동주민센터 1층",02-470-3027,,휴관중,휴관중,2,작은도서관,37.54004014,127.129784
2776,북카페도서관 길동점,10,강동구,서울특별시 강동구 양재대로1548 3층,070-4289-1330,,화~금 : 10:00~21:00 토~일 : 10:00~17:00,"월, 법정공휴일",2,작은도서관,37.54368102,127.1424884
2435,우리작은도서관,1,강서구,서울특별시 강서구 방화대로6라길 26 2층,02-2662-3927,,"평일 : 10:00~15:00, 주말 : 10:00~14:00","일요일, 공휴일",2,작은도서관,37.55614907,126.8185107
2656,북카페도서관 다독다독 1호점,10,강동구,"서울특별시 강동구 양재대로 1419, 2층(성내동) 2층",070-7767-0120,,"화~금 : 10:00~21:00, 주말 : 10:00~17:00","월, 법정공휴일",2,작은도서관,37.53298108,127.1376534
2804,북카페도서관 다독다독 강일점,10,강동구,서울특별시 강동구 아리수로93가길 110(강일동),070-7709-7089,,화~금 : 10:00~21:00 토~일 : 10:00~17:00,"월, 법정공휴일",2,작은도서관,37.57378021,127.1731798
2774,북카페도서관 다독다독 고덕점,10,강동구,서울특별시 강동구 동남로82길 127,070-4923-5288,,화~금 : 10:00~21:00 토~일 : 10:00~17:00,"월, 법정공휴일",2,작은도서관,37.56037485,127.1640295
2718,북카페도서관 다독다독 고분다리시장점,10,강동구,서울특별시 강동구 구천면로34길 16(천호동) 1층,070-7767-0170,,"화~금 : 10:00~21:00, 주말 : 10:00~17:00","월, 법정공휴일",2,작은도서관,37.54226709,127.1320966
2775,북카페도서관 다독다독 암사시장점,10,강동구,서울특별시 강동구 올림픽로98길 15 7층,070-7767-0200,,화~금 : 10:00~21:00 토~일 : 10:00~17:00,"월, 법정공휴일",2,작은도서관,37.55140499,127.1290278
1563,상상마루작은도서관,10,강동구,서울특별시 강동구 상일로 152 고덕리엔1단지 107동 1층 ,02-481-4589,,"평일 : 15:00~18:00, 주말 : 13:00~17:00",매주 일요일,2,작은도서관,37.56082582,127.1710307
1260,서원마을작은도서관,10,강동구,"서울특별시 강동구 올림픽로 936, 2층(암사동) 마을회관 2층",070-8825-1410,,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",2,작은도서관,37.56400935,127.1333801
2791,성가정 작은도서관,10,강동구,서울특별시 강동구 고덕로83길 68,02-429-3420,,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",2,작은도서관,37.5603449,127.1694812
2006,성내PLUS작은도서관,10,강동구,서울특별시 강동구 성내로3길18 지하1층,070-8812-0124,,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",2,작은도서관,37.53081531,127.1228364
1261,솔향기북카페,10,강동구,"서울특별시 강동구 고덕로97길 20, 관리사무소 2층(강일동) 관리동 2층",02-427-6695,,"평일 : 10:00~17:00, 주말 : 10:00~13:00","일, 법정공휴일",2,작은도서관,37.57900841,127.1719981
147,아람작은도서관,10,강동구,"서울특별시 강동구 양재대로84길 31,  2층 (둔촌동)","02-475-9948, 070-8151-971",,휴관중,휴관중,2,작은도서관,37.53131068,127.1497915
1849,아빠하우스작은도서관,10,강동구,서울특별시 강동구 아리수로93나길 60 골드프라자 505호,02-486-7785,,"평일 : 화, 수, 목, 금:14:00~18:00, 주말 : 휴관일","월, 토, 일, 법정공휴일",2,작은도서관,37.57228621,127.1751792
145,안말작은도서관,10,강동구,"서울특별시 강동구 풍성로37가길 62, (성내동) 성내2동주민센터 2층",02-488-2392,,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",2,작은도서관,37.53242851,127.1295401
2655,엘림작은도서관,10,강동구,서울특별시 강동구 천호대로 1095(천호동) 511호,,,평일 : 10:00~17:00,"토, 일, 법정공휴일",2,작은도서관,37.53594221,127.1336623
2779,열매작은도서관,10,강동구,"서울특별시 강동구 아리수로93가길 70(강일동, 강동리버스트7단지)",,,,,2,작은도서관,37.57033717,127.1740857
132,옹기종기작은도서관,10,강동구,"서울특별시 강동구 양재대로1512, 2층",070-8118-3474,,"평일 : 13:00~18:00, 주말 : 휴관일","토요일,일요일",2,작은도서관,37.54049654,127.1413559
2798,우리역사문화도서관,10,강동구,"서울특별시 강동구 진황도로 145(둔촌동, KNP주상복합)",,,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",2,작은도서관,37.53313264,127.1413091
2423,작은도서관 웃는책,10,강동구,"서울특별시 강동구 구천면로42길 60(천호동) 1,2층",02-478-8600,,"평일 : 09:30~18:30, 주말 : 토:10:00~17:00","일, 법정공휴일",2,작은도서관,37.55469166,127.1516834
2003,좋은땅꿈나책작은도서관,10,강동구,"서울특별시 강동구 풍성로37가길 58, 지하1층",070-4422-6911,,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",2,작은도서관,37.53254805,127.1293749
2004,주영광작은도서관,10,강동구,"서울특별시 강동구 양재대로115길 28, (길동) 3층",02-489-5259,,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",2,작은도서관,37.53245682,127.1292287
138,채우리작은도서관,10,강동구,"서울특별시 강동구 고덕로24길 49, 1층(암사동) 암사1동자치회관 1층",02-481-6152,,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",2,작은도서관,37.53921083,127.1388733
135,책꾸러미작은도서관,10,강동구,"서울특별시 강동구 상암로 260, 2층(명일동) 명일2동주민센터 2층",02-442-3982,,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",2,작은도서관,37.55236421,127.1357035
1562,초대구름도서관,10,강동구,서울특별시 강동구 상암로 27나길 13 2층,02-477-1004,,"평일 : 11:00~18:00, 주말 : 09:00~16:00",월요일,2,작은도서관,37.54752943,127.1371075
148,파랑새작은도서관,10,강동구,"서울특별시 강동구 천호대로186길 7, 1층(둔촌동, 둔촌2동주민센터) 둔촌2동주민센터 1층",02-489-2666,,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",2,작은도서관,37.53334613,127.1419485
124,함께크는우리,10,강동구,서울특별시 강동구 고덕로61길 104(고덕동) 2층,02-428-4686,,"평일 : 10:00~18:00, 주말 : 10:00~13:00","일요일, 법정공휴일",2,작은도서관,37.55930269,127.1516827
139,해오름작은도서관,10,강동구,"서울특별시 강동구 상암로3길 28, 2층(암사동) 암사2동주민센터 2층",02-3426-3070,,"평일 : 10:00~17:00, 주말 : 휴관일",매월 셋째주 금 및 토?일?공휴일,2,작은도서관,37.56665973,127.1384372
142,햇살작은도서관,10,강동구,"서울특별시 강동구 천중로17길 42-16, 2층(천호동, 천호2동자치회관) 2층",02-471-4192,,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일, 법정공휴일",2,작은도서관,37.54620984,127.1317143
2652,행복책방sh작은도서관,10,강동구,서울특별시 강동구 고덕로97길 100(강일동) 1104동 1층,02-442-9660,,"평일 : 18:00~23:00, 주말 : 10:00~17:00",법정공휴일,2,작은도서관,37.562735,127.1799929
2654,허브작은도서관,10,강동구,서울특별시 강동구 천호대로200길 15-12(둔촌동) 1층,02-417-0405,,평일 : 10:00~17:00,"토, 일, 법정공휴일",2,작은도서관,37.53603547,127.1501482
2147,희망샘작은도서관,10,강동구,서울특별시 강동구 풍성로35길 53(성내동)  602호,02-484-1149,,평일 : 10:00~17:00,"토, 일, 법정공휴일",2,작은도서관,37.53397665,127.1252752
155,CMS영어작은도서관,21,강북구,서울특별시 강북구 삼양로74길 70 2층,,,"평일 : 13:00~18:30, 주말 : 09:00~16:00","토요일, 공휴일",2,작은도서관,37.6299922,127.0216208
1975,겨자씨작은도서관,21,강북구,서울특별시 강북구 삼양로 27길 35 삼양제일교회 ,02-988-0531,,"평일 : 09:00~18:00, 주말 : 09:00~18:00",월요일,2,작은도서관,37.6184596,127.0194136
2424,꼴찌만화방작은도서관 ,21,강북구,서울특별시 강북구 덕릉로 19-1 2층,,,"평일 : 11:00~19:00, 주말 : 11:00~19:00",법정공휴일,2,작은도서관,37.63418881,127.0158363
2425,꿈꾸는문고,21,강북구,서울특별시 강북구 삼각산로 140 4층 ,070-4249-7091,,휴관중,휴관중,2,작은도서관,37.6408896,127.0175027
1904,꿈이익어가는작은도서관,21,강북구,서울특별시 강북구 삼양로 106-1 1층,,,"평일 : 11:30~18:00, 주말 : 11:30~18:00",월요일,2,작은도서관,37.6133967,127.0222809
1583,꿈익는책마을어린이도서관,21,강북구,서울특별시 강북구 삼양로47길 9 삼양동 종합복지센터 2층,02-945-1305,,"평일 : 09:00~17:30, 주말 : 10:00~13:00",일요일,2,작은도서관,37.62293571,127.0185412
2657,다솔작은도서관,21,강북구,서울특별시 강북구 인수봉로 12 2층,02-988-5027,,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일요일",2,작은도서관,37.62108093,127.0126346
2426,닻별작은도서관,21,강북구,서울특별시 강북구 오현로32길 30-16 103호,02-6494-1098,,"평일 : 13:00~19:00, 주말 : 13:00~19:00","토, 일요일",2,작은도서관,37.62763284,127.0402563
1584,동은작은도서관,21,강북구,서울특별시 강북구 4.19로13길 4 4층,,,"평일 : 10:00~18:00, 주말 : 09:00~12:00","일요일, 공휴일",2,작은도서관,37.64383521,127.0110662
169,미아동새마을문고,21,강북구,서울특별시 강북구 솔매로 49길 14 미아동주민자치센터 2층,02-3778-4069,,"평일 : 10:00~17:00, 주말 : 휴관일","토요일,일요일, 법정공휴일",2,작은도서관,37.63251143,127.0283215
151,밝은작은도서관,21,강북구,서울특별시 강북구 삼양로 19길 74 엄마손마트 지하,02-980-7798,,"평일 : 09:00~17:00, 주말 : 휴관일","토요일,일요일",2,작은도서관,37.61639737,127.0190458
173,번1동새마을문고,21,강북구,서울특별시 강북구 덕릉로 41길 74 번1동주민센터 3층,02-3778-4267,,"평일 : 10:00~17:00, 주말 : 휴관일","토요일,일요일, 법정공휴일",2,작은도서관,37.63789129,127.0288472
1585,번2동새마을문고,21,강북구,서울특별시 강북구 한천로 897 번2동주민센터 2층,02-3778-4319,,"평일 : 10:00~17:00, 주말 : 휴관일","토요일,일요일, 법정공휴일",2,작은도서관,37.63247391,127.0385158
175,번3동새마을문고,21,강북구,서울특별시 강북구 한천로 105길 21 번3동주민센터 2층,02-3778-4367,,"평일 : 10:00~17:00, 주말 : 휴관일","토요일,일요일, 법정공휴일",2,작은도서관,37.62579675,127.0465047
1977,번동꿈나무작은도서관,21,강북구,서울특별시 강북구 오현로31길 21 201호(번동),,,"평일 : 15:00~19:00, 주말 : 휴관일","토요일, 일요일, 법정공휴일",2,작은도서관,37.62960188,127.0387461
162,별빛초롱문고,21,강북구,서울특별시 강북구 삼각산로 157 2층 ,02-994-1318,,"평일 : 08:00~21:00, 주말 : 09:00~18:00","일요일, 공휴일",2,작은도서관,37.64190283,127.0211966
1586,북한산둘레길북카페,21,강북구,서울특별시강북구 4.19로 28길 10 북한산둘레길 북카페,02-940-3754,,"평일 : 09:00~17:30, 주말 : 09:00~17:30",월요일,2,작은도서관,37.64320846,127.0023678
2722,빨래골 작은도서관,21,강북구,서울특별시 강북구 삼양로77가길 36 302호,02-988-5027,,"평일 : 10:00~17:00, 주말 : 휴관일","토, 일요일",2,작은도서관,37.62882534,127.0158277
172,삼각산동새마을문고,21,강북구,서울특별시 강북구 솔샘로 174(미아동) SK 아파트 제 1관리사무소 1층,070-8825-0858,,"평일 : 10:00~17:00, 주말 : 휴관일","토요일,일요일, 법정공휴일",2,작은도서관,37.61784278,127.035569
168,삼양동새마을문고,21,강북구,서울특별시 강북구 삼양로 268 삼양동주민센터 2층,02-3778-4042,,"평일 : 10:00~17:00, 주말 : 휴관일","토요일,일요일, 법정공휴일",2,작은도서관,37.62734029,127.0183669
1272,송중동새마을문고,21,강북구,서울특별시 강북구 오패산로 162 송중동 주민센터 3층,02-3778-4119,,"평일 : 10:00~17:00, 주말 : 휴관일","토요일,일요일, 법정공휴일",2,작은도서관,37.61612193,127.0337807
171,송천동새마을문고,21,강북구,서울특별시 강북구 솔샘로 284 송천동주민센터 2층,02-3778-4168,,"평일 : 10:00~17:00, 주말 : 휴관일","토요일,일요일, 법정공휴일",2,작은도서관,37.61829732,127.0238508
2427,송천북카페,21,강북구,서울특별시 강북구 숭인로 39 (송천센트레빌) 461,02-989-6517,,휴관중,휴관중,2,작은도서관,37.61249095,127.0250974
1978,수유1동새마을문고,21,강북구,서울특별시 강북구 삼양로 299 수유1동 주민센터 2층,02-3778-4466,,"평일 : 10:00~17:00, 주말 : 휴관일","토요일,일요일, 법정공휴일",2,작은도서관,37.63005002,127.0175582
177,수유2동새마을문고,21,강북구,서울특별시 강북구 한천로 1117 수유2동주민센터 2층,02-3778-4719,,"평일 : 10:00~17:00, 주말 : 휴관일","토요일,일요일, 법정공휴일",2,작은도서관,37.64464425,127.0198896
