축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관명,주최기관명,후원기관명,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
2014 안양시민축제,평촌중앙공원+삼덕공원,9/26/14,9/28/14,시민공연마당+ 전시체험부스+ 특별기회전시+ 개폐막 축하공연+ 방송국 공개방송+ 거리공연 등,(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.9613287,4/8/24,3830000,경기도 안양시
2017 안양충훈벚꽃축제,안양충훈2교일대,4/7/17,4/9/17,축하공연+ 안양꽃길걷기대회+ 안양꽃길그리기+ 어린이벼룩시장+ 거리공연+ 체험부스 등,(재)안양문화예술재단,경기도 안양시+안양충훈벚꽃축제추진위원회,티브로드abc방송,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 만안구 석수로 159,경기도 안양시 만안구 석수동 797,37.404615,126.896157,4/8/24,3830000,경기도 안양시
2017 안양 아줌마축제,평촌중앙공원,5/27/17,5/28/17,아줌마 축제 기념공연+ 여성동아리공연+ 미니올림픽+ 김장담그기대회+ 홍보체험부스 등,경인일보,(재)안양문화예술재단,경기도 안양시+ 안양시여성단체협의회,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.9613287,4/8/24,3830000,경기도 안양시
2017 광복기념음악회,안양아트센터 관악홀,8/15/17,8/15/17,안양필하모닉 오케스트라연주+ 안양시립합창단 공연 등 (우천으로 안양아트센터 관악홀 실내 진행),(재)안양문화예술재단,(재)안양문화예술재단,경기도 안양시+ 티브로드abc방송,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 만안구 문예로 36번길 16,경기도 안양시 만안구 안양동 549,37.384588,126.931365,4/8/24,3830000,경기도 안양시
2017 안양 시민축제,평촌중앙공원+병목안시민공원+범계로데오,9/15/17,9/17/17,시민공연마당+ 전시체험부스+ 개폐막 축하공연+ 방송국 공개방송+ 안양시민의날 기념식+ 안양시민가요제 등,(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.9613287,4/8/24,3830000,경기도 안양시
2018 안양충훈벚꽃축제,안양충훈2교일대,4/7/18,4/15/18,축하공연+ 안양꽃길걷기대회+ 안양꽃길그리기+ 어린이벼룩시장+ 거리공연+ 체험부스 등,(재)안양문화예술재단,경기도 안양시+안양충훈벚꽃축제추진위원회,티브로드abc방송,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 만안구 석수로 159,경기도 안양시 만안구 석수동 797,37.404615,126.896157,4/8/24,3830000,경기도 안양시
2018 안양여성축제,평촌중앙공원,5/12/18,5/13/18,기념공연+ 여성동아리공연+ 미니올림픽+ 김장담그기대회+ 홍보체험부스 등,경인일보,(재)안양문화예술재단,경기도 안양시+ 안양시여성단체협의회,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.9613287,4/8/24,3830000,경기도 안양시
2018 광복기념음악회,병목안시민공원,8/15/18,8/15/18,뮤지컬 그룹 플래티넘+ 안양시립합창단 공연 등,(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,경기도 안양시+ 티브로드abc방송,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 만안구 병목안로 215,경기도 안양시 만안구 안양동 산 82-2,37.385289,126.907675,4/8/24,3830000,경기도 안양시
2018 안양 시민축제,평촌중앙공원+병목안시민공원+범계로데오,9/14/18,9/16/18,시민공연마당+ 전시체험부스+ 개폐막 축하공연+ 방송국 공개방송+ 안양시민의날 기념식+ 안양시민가요제 등,(재)안양문화예술재단,경기도 안양시+안양축제추진위원회,,031-687-0500,http://www.ayac.or.kr,안양예술공원+ APAP+ 김중업박물관,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.390137,126.9613287,4/8/24,3830000,경기도 안양시
마곡사 신록축제,사곡면 운암리 마곡사일원,5/7/22,5/8/22,전시 운영+백범명상길 걷기+마곡사 보물찾기 등,마곡사신록축제추진위원회,공주시,,041-840-2056,,,충청남도 공주시 사곡면 마곡사로 966 마곡사,충청남도 공주시 사곡면 운암리 567,36.55740589,127.011603,11/21/22,4500000,충청남도 공주시
제68회 백제문화제,금강신관공원,10/1/22,10/10/22,웅진성퍼레이드+체험마당+무대공연+농특산품전시 및 판매,백제문화선양위원회,백제문화제추진위원회,,041-840-8112,https://www.baekje.org/kor/,,충청남도 공주시 신관동 553,충청남도 공주시 신관동 553,36.47835102,127.1204236,11/21/22,4500000,충청남도 공주시
제5회 겨울공주 군밤축제,온라인,1/29/22,2/20/22,알밤 토크콘서트+공주알밤 디저트 UCC공모전+휴게소 홍보 등,겨울공주 군밤축제추진위원회,공주시,,041-840-2056,,,충청남도 공주시 금학동 111-1,충청남도 공주시 금학동 111-1,36.43336915,127.124038,11/21/22,4500000,충청남도 공주시
제1회 유구색동수국정원 꽃축제,유구색동수국정원,6/17/22,6/19/22,공식+기획 행사+경관조성+체험프로그램+편의시설 운영 등,공주시,공주시,,041-840-8111,,,,충청남도 공주시 유구읍 유구리 648-17,36.5555033,126.9543952,11/21/22,4500000,충청남도 공주시
보이지 않아도 보이는,KT&G 상상마당 춘천 1전시실+KT&G 상상마당 춘천 2전시실,7/13/22,7/17/22,"전시장에서 작품을 관람하고자 할 때, 종종 만지지 마세요 눈으로만 보세요.’ 라는 글귀가 있다. 그러면 작품을 볼 수 없는 시작장애인에게 작품 감상은 불가능하다. 이번 전시는 장애인과 같이 문화적 소외자들에게도 작품 감상의 기회를 만들어 시각 예술 분야의 한계성을 극복해보고자 하는 전시이다.",공공미터협동조합,강원문화재단+공공미터협동조합,강원문화재단,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10597&search_type=1&search_keyword=EBB3B4EC9DB4ECA780+EC958AEC9584EB8F84+EBB3B4EC9DB4EB8A94,전시관람,강원도 춘천시 스포츠타운길399번길 25 어린이회관,강원도 춘천시 삼천동 223-2 어린이회관,37.874066,127.702455,1/12/23,4180000,강원도 춘천시
Creative energy_김정현 개인展,춘천미술관,7/1/22,7/6/22,김정현 개인전,김정현,김정현,,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10594&search_type=1&search_keyword=Creative+energy_EAB980ECA095ED9884+EAB09CEC9DB8E5B195,전시관람,강원도 춘천시 서부대성로 71,강원도 춘천시 옥천동 73-2,37.88237413,127.73132,1/12/23,4180000,강원도 춘천시
2022년 강원PAX아라리 제 3회 정기연주회,국립춘천박물관 중앙홀,6/29/22,6/29/22,"강원팍스아라리 주관으로 수원대학교 교수 박영란 작곡가에게 위촉한 6곡의 아리랑을 피아노(4명의 피아니스트)와 국악기(7명의 국악기 연주자)가 함께 앙상블로 연주한다. 국악과 양악의 콜라보레이션으로서, 한국 전통 민요인 아리랑을 새롭게 재창조하며 다채로운 해석을 통하여 대중적으로 다가가는 공연이 될 것이다.",강원팍스아라리,강원팍스아라리,,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10591&search_type=1&search_keyword=2022EB8584+EAB095EC9B90PAXEC9584EB9DBCEBA6AC+ECA09C+3ED9A8C+ECA095EAB8B0EC97B0ECA3BCED9A8C,공연,강원도 춘천시 우석로 70 국립춘천박물관,강원도 춘천시 석사동 95-3,37.86401877,127.7521907,1/12/23,4180000,강원도 춘천시
제4회 대청호 벚꽃축제,신상동 벚꽃한터 일원,4/8/22,4/10/22,벚꽃 아트길+온라인 공연+경연대회,대전광역시 동구청(대행사: 대전문화방송),대전광역시 동구청,,042-251-6686,https://www.donggu.go.kr/dg/tour/contents/988,,,대전광역시 동구 신상동 282,36.35359044,127.4980431,11/7/23,3640000,대전광역시 동구
제5회 대청호 벚꽃축제,신상동 벚꽃한터 일원,4/7/23,4/9/23,벚꽃콘서트+경연대회+푸드트럭+체험프로그램 등,대전광역시 동구청(대행사: 대전문화방송),대전광역시 동구청,,042-251-6686,https://www.donggu.go.kr/dg/tour/contents/988,,,대전광역시 동구 신상동 282,36.35359044,127.4980431,11/7/23,3640000,대전광역시 동구
동두천 청소년 별자리과학 축제,종합운동장,10/21/23,10/21/23,경기북부지역 청소년들의 과학과 수학에 대한 자신감과 흥미유발,(사)어수회,경기도청+경기도 동두천시청,경기도 동두천시의회+경기문화재단+동두천양주교육지원청 등,031-860-2857,http://www.ddc.go.kr,,경기도 동두천시 어등로 45,경기도 동두천시 생연동 70,37.90083977,127.0704987,3/6/24,3920000,경기도 동두천시
동두천락페스티벌,소요산 주차장 야외특설무대,8/25/23,8/26/23,전국락밴드경연 및 락 뮤지션 초청공연,동두천 락페스티벌 조직위원회,경기도 동두천시청 락페스티벌 조직위원회,문화체육관광부+경기도청+경기도 동두천시청,031-860-2105,https://www.ddc.go.kr/tour/contents.do?key=269,,,경기도 동두천시 상봉암동 산 1-5,37.93877612,127.0857429,3/6/24,3920000,경기도 동두천시
2023 제7회 이담농악두드림대축제,동두천 시민회관 공연장,7/22/23,7/22/23,동두천시 무형문화재 제3호 이담농악보존회에서 주관하는 축제,이담농악보존회,이담농악보존회,경기도 동두천시청,031-860-3331,http://www.ddc.go.kr,,경기도 동두천시 중앙로 268,경기도 동두천시 생연동 594-1,37.90543939,127.0546796,3/6/24,3920000,경기도 동두천시
제4회 동두천 국제 트레일러닝 대회,종합운동장,4/29/23,4/29/23,천혜의 자연 경관을 바탕으로 명실상부한 국내 최고의 트레일러닝대회,럭엑스런,럭엑스런,경기도 동두천시청+문화체육관광부,031-860-2209,http://www.korea50k.com,,경기도 동두천시 어등로 45,경기도 동두천시 생연동 70,37.90083977,127.0704987,3/6/24,3920000,경기도 동두천시
상패남산축제,상패동 행정복지센터 주차장,9/9/23,9/9/23,공연+체험+먹거리장터 등,상패동주민자치위원회,경기도청+경기도 동두천시청+상패동행정복지주민센터,,031-860-3172,http://www.ddc.go.kr,,경기도 동두천시 어수로 8,경기도 동두천시 상패동 122-2,37.90537169,127.0442776,3/6/24,3920000,경기도 동두천시
동두천시 자원봉사 축제,시민평화근린공원 일원,10/14/23,10/14/23,자원봉사자와 시민·청소년 모두가 하나되는 나눔의 장,(사)동두천시자원봉사센터,경기도 동두천시청,경기도 동두천시의회 등,031-860-2089,http://www.ddc.go.kr,,경기도 동두천시 중앙로 125,경기도 동두천시 지행동 691-5,37.89275541,127.0517461,3/6/24,3920000,경기도 동두천시
DDC할로윈클럽데이,보산동 한미우호광장,10/27/18,10/28/18,할로윈데이를 모티브로 한 젊은층 맞춤형 페스티벌,경기관광공사+경기도미술관,경기도청+경기도 동두천시청,경기도 동두천시의회 등,031-860-2627,http://www.ddc.go.kr,,경기도 동두천시 상패로216번길 42,경기도 동두천시 보산동 429-4,37.91584622,127.0565068,3/6/24,3920000,경기도 동두천시
제5회 연제고분판타지축제,온천천시민공원 및 연산동 고분군,3/22/24,3/24/24,역사문화행사,연제구축제추진위원회,부산광역시 연제구,,051-665-4064,,,,부산광역시 연제구 거제동 1466-24,35.19588064,129.082826,3/7/24,3370000,부산광역시 연제구
(가칭)오산 산타 마켓,오산역광장+원동구도심상가,11/23/24,12/25/24,마켓운영+경관조명,경기도 오산시청 문화예술과,경기도 오산시청 문화예술과,,031-8036-7608,https://www.osan.go.kr/main.do,,경기도 오산시 원동로37번길 37-1,경기도 오산시 원동 794,37.145359,127.070236,3/4/24,4000000,경기도 오산시
여주도자기축제,여주 신륵사관광지 일원,5/3/24,5/12/24,"여주 도자기 전시 및 판매, 공연 등",여주세종문화관광재단,경기도 여주시청,,031-881-9693,www.yjcf.or.kr,신륵사 명성황후생가 영릉 황학산수목원 등,경기도 여주시 신륵사길 7,경기도 여주시 천송동 303-3,,,3/1/24,5700000,경기도 여주시
크랩킹페스타,추암해변,4/11/24,4/14/24,"개막식, 먹거리장터, 공연행사,크랩뜰낚시체험, 크랩맨손잡기",동해문화관광재단,강원특별자치도 동해시청,강원특별자치도 동해시청,033-530-2111,,,,강원특별자치도 동해시 추암동 474-20,37.47834714,129.157962,3/5/24,4211000,강원특별자치도 동해시
2024얼음나라 화천 산천어축제,화천천 일원,1/6/24,1/28/24,얼음낚시+맨손잡기+눈얼음체험+얼음조각광장 등,(재)나라,강원특별자치도 화천군청,,1688-3000,www.narafestival.com,,강원특별자치도 화천군 화천읍 산천어길 137,강원특별자치도 화천군 화천읍 중리 186-5,38.11250161,127.7098432,3/5/24,4311000,강원특별자치도 화천군
2024 대구앞산축제(제29회 대덕제),남구구민체육광장,5/25/24,5/26/24,앞산을 배경으로 다양한 체험프로그램과 문화예술 공연이 있는 주민화합 축제,대구광역시 남구,대구광역시 남구,대구광역시,053-664-3262,,,대구광역시 남구 고산4길 71,대구광역시 남구 봉덕동 1272-1,35.83229037,128.6004362,3/5/24,3440000,대구광역시 남구
영도다리축제,아미르공원+영도일원+영도다리축제유튜브채널,10/12/24,10/13/24,개막주제공연+축하공연+불꽃쇼+퍼레이드+체험행사 등,영도문화원,부산광역시 영도구청,부산광역시,051-419-4064,http://www.yeongdo.go.kr/ydfestival.web,,부산광역시 영도구 해양로 301번길 55,부산광역시 영도구 동삼동 1165,35.07714964,129.0820078,3/4/24,3280000,부산광역시 영도구
영도커피페스티벌,아미르공원,5/24/24,5/26/24,개막주제공연+축하공연+체험행사 등,부산광역시 영도구청,부산광역시 영도구청,부산광역시,051-419-6332,https://www.yeongdo.go.kr/yd_coffee_festival.web,,부산광역시 영도구 해양로 301번길 55,부산광역시 영도구 동삼동 1165,35.07714964,129.0820078,3/4/24,3280000,부산광역시 영도구
2023 과천공연예술축제,과천시 일원,9/22/23,9/24/23,시민주도형 예술축제,과천문화재단,경기도 과천시청,농협은행㈜과천시지부,02-2009-9732,http://www.gcfest.or.kr,,경기도 과천시 통영로 5,경기도 과천시 중앙동 6-2,37.42819137,126.9891538,2/27/24,3970000,경기도 과천시
2024고령 대가야축제,대가야박물관+대가야역사테마관광지+대가야문화누리+관내일원,3/29/23,3/31/23,"체험프로그램, 악성우륵추모제, 가야금 100대 공연, 야간특별프로그램, 불꽃쇼, 인기가수 공연 등",사)고령군 관광협의회,고령군,"문화체육관광부, 경상북도",054-950-6424,http://www.festdgy.com/,,경상북도 고령군 대가야읍 대가야로 1216,경상북도 고령군 대가야읍 지산리 471-1,35.72008225,128.259677,3/4/24,5200000,경상북도 고령군
2020 부평풍물대축제,신트리공원 등,10/16/20,10/18/20,다큐멘터리 제작+지역 문화예술인 참여 소규모 공연 등,부평구축제위원회+ 부평구문화재단+ 부평문화원,인천광역시 부평구청,문화체육관광부+인천광역시,032-509-7516,https://portal.icbp.go.kr/bpf/,,인천광역시 부평구 신트리로 21,인천광역시 부평구 부평동 880,37.506554,126.7236393,3/4/24,3540000,인천광역시 부평구
2023계룡軍문화축제,충남 계룡시일원(계룡대 활주로 및 시가지),10/6/23,10/10/23,"개막식,전시관, 체험, 공연·경연, 부대행사등",(재)계룡시문화관광재단,충청남도 계룡시,국방부 등,042-840-2623,http://m-festival.org/,군(軍)문화로 통(通)하는 YES 계룡,,충남 계룡시 신도안면 석계리 76,,,8/28/23,5580000,충청남도 계룡시
휴애리 유럽 수국축제,휴애리 자연생활공원,7/15/23,9/15/23,동물먹이주기체험 전통놀이체험,휴애리자연생활공원,휴애리자연생활공원,,064-732-2114,hueree.com,,제주특별자치도 서귀포시 남원읍 신례동로 256,,33.30853475,126.6343808,12/5/23,6500000,제주특별자치도
상효원수목원 봉선화축제,상효원수목원,7/29/23,9/22/23,2014년 4월에 개원하여 운영하고 있는 제주도 서귀포시 돈내코 인근 중산간에 위치한 힐링 수목원 상효원에서 여름을 맞이하여 수국전시에 이어 산파첸스 축제가 열린다,상효원수목원,상효원수목원,,064-733-2200,www.sanghyowon.com/,,제주특별자치도 서귀포시 산록남로 2847-37,,33.30721676,126.5860085,12/5/23,6500000,제주특별자치도
2023제주애니아일랜드페스티벌,서귀포시 문부공원 및 기적의 도서관,9/16/23,9/16/23,캐릭터 전시·캐릭터 마켓·캐릭터 놀이터·나만의 모자 만들기 체험·다양한 공연·애니 상영회·캐릭터 페이스 페인팅,제주특별자치도 제주영상문화산업진흥원,제주특별자치도 제주영상문화산업진흥원,,064-766-0707,naver.me/I5464pEC,,제주특별자치도 서귀포시 태평로537번길 40-9,,33.25398806,126.570696,12/5/23,6500000,제주특별자치도
제13회 산지천축제,산지천 일원,9/8/23,9/10/23,산지천 토크와 컨퍼런스·길트기·개막공연·문화예술공연·시니어모델 패션쇼·청소년 댄스 콘테스트·산지천 소망등 띄우기·산지천 물총파티·촘대 광어 낚시·RC보트 투어링·산지천 로드드로잉·산지천 전시회· 스탬프투어·어린이 장터 등,산지천축제위원회,건입동주민센터,,064-728-4655,,,제주특별자치도 제주시 칠성로길 48,,33.5141394,126.5277892,12/5/23,6500000,제주특별자치도
아트 트랙 제주 2023,제주 전역,9/1/23,10/1/23,제주 전역을 전시장으로 한 제주를 여행하며 문화예술을 즐기는 아트 트랙 제주 2023,SPEEKER,SPEEKER,,070-4367-6329,www.instagram.com/speeker_official,,제주특별자치도 제주시 애월읍 일주서로 6935,,,,12/5/23,6500000,제주특별자치도
제16회 제주해녀축제,해녀박물관 잔디광장,9/23/23,9/24/23,체험 및 홍보부스 운영·’즐거운 오후 2시’와 함께하는 해녀가족 노래자랑·지역문화공원,제주해녀축제추진위원회,제주해녀축제추진위원회,,064-711-7021,,,제주특별자치도 제주시 구좌읍 해녀박물관길 26,,33.52360988,126.863484,12/5/23,6500000,제주특별자치도
휴애리 핑크뮬리축제,휴애리 자연생활공원,9/15/23,11/15/23,흑돼지야놀자·동물먹이주기체험·야생화 자연 학습체험·청귤체험·감귤체험·전통놀이체험,휴애리자연생활공원,휴애리자연생활공원,,064-732-2114,hueree.com,,제주특별자치도 서귀포시 남원읍 신례동로 256,,33.30853475,126.6343808,12/5/23,6500000,제주특별자치도
2023 숲으로오라-찾아라초록 숲의 비밀,제주한라도서관 일원,10/14/23,10/14/23,어린이 환경수호대(3기)·숲속 보물찾기·업사이클 굿즈 만들기 등 다양한 체험 프로그램과 환경의 중요성을 직접 느낄 수 있는 교육 프로그램과 제주 설화 인형극·밤마실 극장 등 현장에서 참여할 수 있는 다양한 체험거리와 즐길거리가 마련된다,제주관광공사,제주특별자치도,,064-740-6000,www.instagram.com/jejuforest_ora/,,제주특별자치도 제주시 오남로 221,,33.4762839,126.5161965,12/5/23,6500000,제주특별자치도
신산 도채비 빛축제,신산공원 일대,10/21/23,11/19/23,제주 도심 속 휴식공간인 신산공원에서 가을밤 신비롭고 아름다운 빛이 켜진다. 어쩌면 기적처럼 소원이 이루어질지 모른다. 처음 만나는 도채비 빛 축제를 만나보자,제주관광공사,제주특별자치도,,,www.instagram.com/jeju_sinsan,,제주특별자치도 제주시 신산로 82,,33.50548585,126.5347396,12/5/23,6500000,제주특별자치도
마노르블랑 핑크뮬리축제,마노르블랑,9/15/23,11/30/23,대한민국 핑크뮬리의 성지 마노르블랑에서 핑크뮬리축제의 향연이 시작된다.,마노르블랑,마노르블랑,,064-794-0999,manorblanc.modoo.at,,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,,33.25482364,126.2949866,12/5/23,6500000,제주특별자치도
제8회 고마로 마문화축제,고마로거리·신산공원,10/13/23,10/15/23,고마로가요제·거리퍼레이드·먹거리장터 및 체험부스 운영 등,고마로마문화축제위원회,고마로마문화축제위원회,제주특별자치도 제주특별자치도의회 제주특별자치도교육청 제주특별자치도 제주시 일도2동 주민센터 일도2동 각 자생단체 한국마사회제주지역본부,064-728-4442,,,제주특별자치도 제주시 신산로 82,,33.50548585,126.5347396,12/5/23,6500000,제주특별자치도
제주 광어대축제,제주어류양식수협 특별행사부스,10/14/23,10/22/23,광어를 소재로 한 국내 유일의 행사로써 제주 광어의 우수성과 안정성을 소개하고 홍보하는 축제이다.,제주광어대축제추진위원회,제주어류양식수협,,064-766-7225,,,제주특별자치도 제주시 연삼로 166,,33.503977,126.5491571,12/5/23,6500000,제주특별자치도
JEMI페스타,제주영상·문화산업진흥원 일대,10/21/23,10/22/23,제주의 JEMI있는 콘텐츠를 발굴하는 연구소 ’제주콘텐츠코리아랩’의 콘텐츠 기업을 만날 수 있는 ’JEMI페스타’가 개최된다. 이번 JEMI페스타에는 32개 팀의 도내 콘텐츠기업과 예비창업자들이 참여해 다양한 미션존·체험존·전시존이 운영된다.,한국콘텐츠진흥원,제주특별자치도,,064-735-0617,jejuckl.kr/community/photo.htm?act=view&seq=580,,제주특별자치도 제주시 신산로 82,,33.50548585,126.5347396,12/5/23,6500000,제주특별자치도
흥부제,사랑의 광장 일원+아영면 성리 흥부묘+인월면,10/7/23,10/9/23,흥부마을터울림+다양한 공연 및 홍보 등,흥부제전위원회,전라북도 남원시청,국립민속국악원,063-620-5772,,,전라북도 남원시 양림길 12,전라북도 남원시 어현동 37-19,35.40248095,127.3861268,12/4/23,4700000,전라북도 남원시
지리산 뱀사골 단풍제,산내면 부운리 지리산국립공원,10/21/23,10/21/23,"단풍제(산신제)+체험행사(단풍길 걷기, 보물찾기 등)+지리산 풍경 사진전+공연단 공연",산내면발전협의회,전라북도 남원시 산내면,전라북도 남원시청,063-620-4705,,,전라북도 남원시 산내면 와운길 10,전라북도 남원시 산내면 부운리 252,35.37179767,127.5791353,12/4/23,4700000,전라북도 남원시
백운계곡 뜬구름 축제,백운계곡 일대,4/30/22,5/22/22,장작패기+무술체험+포천쿠키만들기+레트로포토존+뜬구름빵+행운쿠기체험 등,백운계곡상권활성화사업단+백운계곡상인협동조합,경기도시장상군진흥원,,,,,경기도 포천시 이동면 포화로148,,38.07007473,127.4018616,12/4/23,5600000,경기도 포천시
억새꽃 축제,산정호수+명성산 일대,10/15/22,11/20/22,작은버스킹+1년 후에 받는 편지 등,경기도 포천시청+포천시문화재단,경기도 포천시청+포천시문화재단,경기도+경기관광공사,,,,경기도 포천시 영북면 산정호수로411번길 89,,38.0688661,127.3221101,12/4/23,5600000,경기도 포천시
포천 백운계곡 동장군 축제,백운계곡 일대,12/24/22,2/5/23,ICE BIG TREE 포토존+얼음조각작품 전시+튜브 눈썰매+송어얼음 낚시,동장군축제조직위원회,경기도 포천시청,,,,,경기도 포천시 이동면 화동로 2381,,38.0547745,127.383869,12/4/23,5600000,경기도 포천시
도봉 과학축전,"도봉구청 로비, 아뜨리움, 대강당, 광장 등",10/23/15,10/28/15,과학 체험· 전시·교육·이벤트 마당 등,서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2316,http://science.dobong.go.kr,,서울특별시 도봉구 마들로 656,,37.6686287,127.0470496,5/1/18,3090000,서울특별시 도봉구
제13회 남한강축제,법천소공원,7/29/23,7/30/23,문화예술공연+노래자랑 등,남한강축제위원회,남한강축제위원회,강원도 원주시청,033-737-5630,,,강원도 원주시 부론면 앙암로 1234,강원도 원주시 법천리 1575-1,37.20602239,127.7482249,5/17/23,4190000,강원도 원주시
